timestamp,author_name,author_title,author_company,post_content,hashtags,source_url,post_type,collected_at
"2026-03-01T15:37:00+08:00","Brian Thomas Hogan","Aviation Consultancy @ German Pacific | Airline Restructuring, Subject Matter Experts","German Pacific","Ya but not claimable due to force majuer as a war happened! Discussion about carrier coverage in region.","","","Comment","2026-03-01T15:37:00+08:00"
"2026-03-01T15:38:00+08:00","Thomas Jaeger","Founder, Owner and President at ch-aviation","ch-aviation","Brian, yes, I assume carriers in the region here would have coverage.","","","Reply","2026-03-01T15:38:00+08:00"
"2026-03-01T15:40:00+08:00","Crestone Air Partners","-","Crestone Air Partners","Crestone is pleased to announce the completion of PDP financing and a sale-leaseback with Arajet for four LEAP-1B engines. Engine leasing has always been and will remain central to our investment strategy and our view of aircraft value. We have now extended that philosophy into next-generation equipment.","#LEAP1B #EngineLeasing #AircraftLeasing","https://lnkd.in/gHTUzp3A","Company Announcement","2026-03-01T15:40:00+08:00"
"2026-03-01T15:41:00+08:00","Lily Eastridge","Managing Director | Commercial Aircraft Sales, ACMI Leasing & Business Jet Trading | Engine Trading","AeroNova Aviation LLC","FOR SALE – FUEL NOZZLES (AR CONDITION). Available for Immediate Delivery. P/N: 1317M47G18 (Qty: 16, AR Condition, Delivery: 2 Days, Trace: 129). P/N: 6840023E16 (Qty: 10, AR Condition, Delivery: 5 Days, Trace: 129). Price: Upon Request. Serious buyers, MRO facilities, and direct operators only.","#AviationParts #FuelNozzles #AircraftComponents #MRO #AviationTrading #AeroNovaAviation","","Parts Sales","2026-03-01T15:41:00+08:00"
"2026-03-01T15:42:00+08:00","DEV GUPTA","Regional Sales/Marketing Manager","Aviatech FZ LLC","A320 Spare Parts Available for Immediate Sale. Aviatech FZ LLC is pleased to announce the immediate availability of certified spare parts for the Airbus A320 family. Our ready-to-move inventory includes a range of rotable and major components, all sourced through trusted industry partners and supported with full traceability.","#A320 #AviationParts #AircraftMaintenance #Rotables #AviationSupply #MRO #Airlines","sales@aviatech.ae","Parts Sales","2026-03-01T15:42:00+08:00"
"2026-03-01T15:43:00+08:00","Nick Harding / Dragon Aviation Capital","Managing Director / Editor at UK Aviation News","Dragon Aviation Capital","IAG posts record results as British Airways plans Boeing 787 expansion at Gatwick. International Airlines Group (IAG) recorded revenues of €33.2 billion for the year, up 3.5 per cent, while operating profit before exceptional items reached €5.0 billion. The group plans deployment of new Boeing 787s at London Gatwick.","#IAG #BritishAirways #Boeing787","http://ukaviation.aero/iag-posts-record-results-as-british-airways-plans-boeing-787-expansion-at-gatwick/","Industry News","2026-03-01T15:43:00+08:00"
"2026-03-01T15:44:00+08:00","AirwayBuzz","-","AirwayBuzz","Iranian state television has confirmed that Iran's Supreme Leader, Ali Khamenei, has been killed. Iran has declared 40 days of national mourning and announced a 7-day public holiday following Khamenei's death.","","","Breaking News","2026-03-01T15:44:00+08:00"
"2026-03-01T15:45:00+08:00","American Aeronex / Ala Jalal Abdul Hadi","Aviation Consultancy","American Aeronex","American Aeronex provides expert aviation consultancy services, supporting airlines, operators, and investors with strategic insight across fleet planning, airline restructuring, and market strategy, turning operational complexity into competitive advantage.","#Aviation #BusinessAviation #CommercialAviation #AircraftBrokers #AircraftLeasing #MRO #AircraftParts #AircraftEngines #Airlines #AviationAdvisory #AviationConsultancy","","Service Offering","2026-03-01T15:45:00+08:00"
"2026-03-01T15:46:00+08:00","Tomasz Śniedziewski","Correspondent at Orient Aviation","Orient Aviation","Rolls-Royce asks the UK government to fund its return to narrowbody engines market. Rolls-Royce is lobbying the UK government for £3 billion (US$4.05 billion) in subsidies for its new UltraFan 30 engine project, allowing the OEM to return to the lucrative narrowbody aircraft powerplants market.","#RollsRoyce #UltraFan #Engine","https://lnkd.in/gFe4A5QM","Industry News","2026-03-01T15:46:00+08:00"
"2026-03-01T15:47:00+08:00","Vedant Bhardwaj","Director – Business Development & External Affairs","Skyway Airlines Inc.","Thank you Jeff Lee and Cargo Facts for featuring Skyway Airlines Inc. Philippines-based Skyway Airlines Inc. has begun flying to mainland China with a Boeing 737-400 freighter and will soon receive its third aircraft to support its international growth.","#skywaygoestochina #speedmatters","https://hubs.la/Q044Ym4T0","Company News","2026-03-01T15:47:00+08:00"
"2026-03-01T15:48:00+08:00","Danny Budding","Aviation Professional","Next Level Aviation","After a short but intense chapter, my time with Next Level Aviation has come to an end. I am grateful for the opportunity to have been part of the team and to work alongside talented colleagues across the aviation aftermarket. Looking for: Sales Director, Head of Procurement, VP of Sales roles.","","https://www.linkedin.com/in/dannybudding","Career Update","2026-03-01T15:48:00+08:00"
