序号,件号,描述,状态,匹配供应商数,供应商列表
18,2117388-12,座舱压力控制器,"无匹配条件({'REPAIR', 'OVHL'})",0,
19,183-1524-020,电容,有匹配,4,"Ansett Aircraft Spares & Services(NE); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); VISION AERONAUTICS(NS)"
20,DNN3551B,壳体,有匹配,1,SAYWELL INTERNATIONAL(NS)
21,966-3138-001,电路板,无匹配条件({'DIST'}),0,
22,98-0976,电路板,"无匹配条件({'SV', 'AR'})",0,
23,2156-604A,烟雾探测器,有匹配,5,"CAPITAL AEROSPARES(OH); JACAERO Industries LLC(SV); Jet Midwest, Inc.(OH); Alaris Aerospace Systems LLC.(SV); AD Aircraft Support(SV)"
24,98-1122,LED,搜索失败,0,
25,7743-00361-04,公共服务板,搜索失败,0,
26,49-170-11,襟翼缝翼控制计算机,有匹配,10,"ITS(SV); AerFin Ltd (Gatwick)(SV); PRIME AIR EUROPE(SV); CAPITAL AEROSPARES(OH); JACAERO Industries LLC(SV); LIFT AEROSPACE(SV); Alaris Aerospace Systems LLC.(SV); EXECUTIVE JET SUPPORT, LTD(SV); Elliot Ward Aviation(SV); Avtrade Ltd(SV)"
27,2G916-1039,控制面板,有匹配,4,AERONED BV(NE); Aerospace Support Associates Ltd.(NE); AEROTRON LTD(NE); Aero Technics FZCO(NE)
28,2G916-2501,电路板,无库存,0,
29,42-767191,PCA,有匹配,1,SKYBUS LLC(NS)
30,814462-1,旋钮开关,有匹配,4,"UNIQUIP PLUS, INC.(NE); XGF ELECTRONICS CO.,LTD(NS); BEIJING CRONDA AVIATION TECHNOLOGY CORP., LTD(NE); AMERICAN AVIATION HARDWARE INC(NE)"
31,433-673-1004-4061,开关,有匹配,2,GLOBAL AIRPARTS DIRECT(NE); INFINITY AIR INC(NE)
32,433-673-1004-4060,开关,有匹配,3,B&G INSTRUMENTS.US(NS); SKY AIR SUPPLY LTD(NE); LYNX AEROTECH(NE)
33,433-673-1004-4062,开关,有匹配,3,GLOBAL AIRPARTS DIRECT(NE); INFINITY AIR INC(NE); LYNX AEROTECH(NE)
34,TS30176,弹簧,有匹配,9,"BROOKS & MALDINI CORPORATION(NE); TURBO RESOURCES INT'L(NS); AERONED BV(NE); Nordair USA, Inc.(NE); Ansett Aircraft Spares & Services(NS); Avsource International(NS); IZZI CUP D.O.O.(NE); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); AVIATOR SOLUTIONS LTD(NS)"
35,0248001981,IC,无库存,0,
36,IDT74FCT162646CTPV,IC,有匹配,3,ABSTRACT ELECTRONICS(NS); AMERICA II ELECTRONICS(NE); CHIP LEADER(NS)
37,RDX-7708CRW,测试设备,无匹配条件({'NE'}),0,
38,RDX-7708BRW,测试设备,无库存,0,
39,5DV411474-10,点火装置组件,有匹配,1,Hansair Logistics Inc.(NE)
40,H150AK26,平衡块,有匹配,4,PDQ Airspares Ltd.(NE); Alpine Air Support GmbH.(NE); Royal Aviation LLC(NS); VISION AERONAUTICS(NS)
41,822-0990-002,HF 收发机,有匹配,10,"AERO-ZONE(OH); AJW Group(SV); AOG Logistics(SV); CAPITAL AEROSPARES(OH); Jet Midwest, Inc.(SV); FIXED AND ROTOR AIRCRAFT SUPPORT(OH); Alaris Aerospace Systems LLC.(SV); SILVER HAWK AIR(OH); Wing & Rotor Logistics, Inc.(SV); zwahlen co(SV)"
42,822-0990-003,HF 收发机,有匹配,9,"ITS(SV); AerFin Ltd (Gatwick)(SV); CAPITAL AEROSPARES(OH); SILVER HAWK AIR(OH); Killick Aerospace Limited(SV); Avsource International(SV); Sky Lease I, Inc.(SV); Unical Aviation, Inc(SV); Avtrade Ltd(SV)"
