timestamp,author_name,author_title,author_company,post_content,hashtags,source_url,post_type,collected_at
"2026-03-01T16:42:00+08:00","Crestone Air Partners","-","Crestone Air Partners","Crestone is pleased to announce the completion of PDP financing and a sale-leaseback with Arajet for four LEAP-1B engines. Engine leasing has always been and will remain central to our investment strategy and our view of aircraft value. We have now extended that philosophy into next-generation equipment.","#LEAP1B #EngineLeasing #AircraftLeasing","https://lnkd.in/gHTUzp3A","Engine Leasing","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","Lily Eastridge / AeroNova Aviation","Managing Director | Commercial Aircraft Sales, ACMI Leasing & Business Jet Trading | Engine Trading","AeroNova Aviation LLC","FOR SALE – FUEL NOZZLES (AR CONDITION). Available for Immediate Delivery. P/N: 1317M47G18 (Qty: 16, AR Condition, Delivery: 2 Days, Trace: 129). P/N: 6840023E16 (Qty: 10, AR Condition, Delivery: 5 Days, Trace: 129). Price: Upon Request. Serious buyers, MRO facilities, and direct operators only.","#AviationParts #FuelNozzles #AircraftComponents #MRO #AviationTrading","","Parts Sales","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","American Aeronex / Ala Jalal Abdul Hadi","Aviation Consultancy","American Aeronex","American Aeronex provides expert aviation consultancy services, supporting airlines, operators, and investors with strategic insight across fleet planning, airline restructuring, and market strategy, turning operational complexity into competitive advantage.","#Aviation #BusinessAviation #CommercialAviation #AircraftBrokers #AircraftLeasing #MRO #AircraftParts #AircraftEngines #Airlines #AviationAdvisory #AviationConsultancy","","Service Offering","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","Tomasz Śniedziewski / Orient Aviation","Correspondent","Orient Aviation","Rolls-Royce asks the UK government to fund its return to narrowbody engines market. Rolls-Royce is lobbying the UK government for £3 billion (US$4.05 billion) in subsidies for its new UltraFan 30 engine project, allowing the OEM to return to the lucrative narrowbody aircraft powerplants market.","#RollsRoyce #UltraFan #Engine","https://lnkd.in/gFe4A5QM","Industry News","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","Vedant Bhardwaj / Skyway Airlines Inc.","Director – Business Development & External Affairs","Skyway Airlines Inc.","Thank you Jeff Lee and Cargo Facts for featuring Skyway Airlines Inc. Philippines-based Skyway Airlines Inc. has begun flying to mainland China with a Boeing 737-400 freighter and will soon receive its third aircraft to support its international growth.","#skywaygoestochina #speedmatters","https://hubs.la/Q044Ym4T0","Company News","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","Danny Budding","Aviation Professional","Next Level Aviation","After a short but intense chapter, my time with Next Level Aviation has come to an end. I am grateful for the opportunity to have been part of the team and to work alongside talented colleagues across the aviation aftermarket. Looking for: Sales Director, Head of Procurement, VP of Sales roles.","","https://www.linkedin.com/in/dannybudding","Career Update","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","BAS Business Aviation Services / Aircraft Showcase","-","BAS Business Aviation Services","2019 Citation M2 – New to the Market. Interested in having us showcase your aircraft? Email us today at info@aircraftshowcase.com! sales@basjets.com","#LuxuryJet #BusinessJet #AircraftSales #Aviation #Pilot #Aircraft #PrivateJet #LuxuryTravel","https://lnkd.in/ekQFejwH","Aircraft Sales","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","Russell Foley","Engine & Airframe Component Supplier & Agent","-","PN 305-350-058-0 - LPT 1 NGV - QTY 8 AVAILABLE. Please contact: +447536109474 rmf@rmfoley.com","","rmf@rmfoley.com","Parts Sales","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","Munshi Asif Sazzad","Aspiring Aviation Management Professional","-","World's Largest Airlines - By Annual Passengers. American Airlines 🇺🇸 - 275.5M, Delta Air Lines 🇺🇸 - 239.9M, Southwest Airlines 🇺🇸 - 231.4M, United Airlines 🇺🇸 - 212.9M, Ryanair 🇮🇪 - 209.6M, IndiGo 🇮🇳 - 134.9M. Growth is shifting toward Asia and emerging markets.","#Aviation #Airlines #GlobalTravel #IndiGo #AirTransport #AviationIndustry #TravelTrends","","Industry Data","2026-03-01T16:42:00+08:00"
"2026-03-01T16:42:00+08:00","Edoardo Barberini","Senior Sales Manager","ST Engineering","Started new position as Senior Sales Manager at ST Engineering","","","Career Update","2026-03-01T16:42:00+08:00"
